Clip Number,Clip Name,Response Level,Displayed Emotion,,,,,,,,,
1284,1016_ITS_SAD_XX,86,S,,,,,,,,,
5766,1071_MTI_FEA_XX,86,F,,,,,,,,,
5268,1065_TAI_FEA_XX,88,F,,,,,,,,,
1533,1019_TSI_DIS_XX,91,D,,,,,,,,,
2778,1035_IEO_ANG_MD,91,A,,,,,,,,,
4272,1053_IOM_FEA_XX,95,F,,,,,,,,,
3525,1044_TIE_HAP_XX,93,H,,,,,,,,,
565,1007_TSI_ANG_XX,86,A,,,,,,,,,
814,1011_IEO_SAD_HI,81,S,,,,,,,,,
3276,1041_IEO_DIS_MD,89,D,,,,,,,,,
4023,1050_IOM_HAP_XX,20,H,,,,,,,,,
2031,1025_WSI_DIS_XX,86,D,,,,,,,,,
2529,1032_IEO_SAD_MD,46,S,,,,,,,,,
5517,1068_MTI_HAP_XX,96,H,,,,,,,,,
5019,1062_TAI_HAP_XX,35,H,,,,,,,,,
6513,1080_ITH_SAD_XX,95,S,,,,,,,,,
7011,1086_DFA_SAD_XX,94,S,,,,,,,,,
2280,1029_IEO_HAP_MD,98,H,,,,,,,,,
316,1004_TSI_NEU_XX,91,N,,,,,,,,,
6264,1077_IWL_DIS_XX,92,D,,,,,,,,,
4521,1056_IWW_HAP_XX,58,H,,,,,,,,,
3027,1038_IEO_FEA_MD,63,F,,,,,,,,,
7260,1089_DFA_DIS_XX,96,D,,,,,,,,,
6015,1074_IWL_HAP_XX,96,H,,,,,,,,,
1782,1022_WSI_SAD_XX,17,S,,,,,,,,,
6762,1083_ITH_DIS_XX,89,D,,,,,,,,,
1035,1013_DFA_DIS_XX,100,D,,,,,,,,,
67,1001_ITS_SAD_XX,63,S,,,,,,,,,
4770,1059_IWW_FEA_XX,84,F,,,,,,,,,
4890,1060_TSI_NEU_XX,100,N,,,,,,,,,
1653,1021_IWW_ANG_XX,82,A,,,,,,,,,
4143,1051_DFA_ANG_XX,100,A,,,,,,,,,
3396,1042_ITH_NEU_XX,100,N,,,,,,,,,
6633,1082_IEO_FEA_LO,52,F,,,,,,,,,
1155,1015_TIE_ANG_XX,48,A,,,,,,,,,
4392,1054_ITS_NEU_XX,73,N,,,,,,,,,
436,1006_IOM_FEA_XX,33,F,,,,,,,,,
4641,1057_ITS_ANG_XX,55,A,,,,,,,,,
2400,1030_MTI_NEU_XX,100,N,,,,,,,,,
1404,1018_IOM_NEU_XX,100,N,,,,,,,,,
7380,1091_TIE_ANG_XX,33,A,,,,,,,,,
906,1012_TIE_NEU_XX,77,N,,,,,,,,,
5388,1066_WSI_NEU_XX,98,N,,,,,,,,,
6384,1079_IEO_ANG_LO,25,A,,,,,,,,,
5139,1063_TSI_ANG_XX,33,A,,,,,,,,,
1902,1024_TAI_NEU_XX,98,N,,,,,,,,,
6882,1085_IEO_DIS_LO,60,D,,,,,,,,,
6135,1076_IEO_HAP_HI,59,H,,,,,,,,,
5886,1073_IEO_NEU_XX,96,N,,,,,,,,,
5637,1069_WSI_ANG_XX,65,A,,,,,,,,,
7131,1088_TIE_NEU_XX,27,N,,,,,,,,,
685,1009_TAI_HAP_XX,63,H,,,,,,,,,
3645,1045_ITH_ANG_XX,88,A,,,,,,,,,
2649,1033_MTI_ANG_XX,24,A,,,,,,,,,
3147,1039_IWL_ANG_XX,37,A,,,,,,,,,
2151,1027_TAI_ANG_XX,97,A,,,,,,,,,
187,1003_IOM_HAP_XX,40,H,,,,,,,,,
2898,1036_IWL_NEU_XX,32,N,,,,,,,,,
3894,1048_DFA_NEU_XX,99,N,,,,,,,,,
6412,1079_TAI_HAP_XX,54,H,,,,,,,,,
6163,1076_IWW_ANG_XX,59,A,,,,,,,,,
4171,1052_IEO_ANG_LO,52,A,,,,,,,,,
464,1006_ITH_SAD_XX,53,S,,,,,,,,,
6910,1085_MTI_HAP_XX,73,H,,,,,,,,,
5665,1070_IOM_ANG_XX,57,A,,,,,,,,,
3175,1039_WSI_HAP_XX,55,H,,,,,,,,,
6661,1082_TAI_FEA_XX,56,F,,,,,,,,,
4669,1058_IEO_DIS_LO,64,D,,,,,,,,,
1432,1018_IWL_FEA_XX,30,F,,,,,,,,,
7159,1088_MTI_FEA_XX,24,F,,,,,,,,,
2428,1030_ITS_FEA_XX,49,F,,,,,,,,,
713,1009_ITS_DIS_XX,27,D,,,,,,,,,
2926,1036_TSI_FEA_XX,31,F,,,,,,,,,
215,1003_IWL_DIS_XX,45,D,,,,,,,,,
2179,1027_ITS_HAP_XX,43,H,,,,,,,,,
4420,1055_IEO_FEA_LO,37,F,,,,,,,,,
5416,1067_IOM_NEU_XX,66,N,,,,,,,,,
7408,1091_IWL_HAP_XX,62,H,,,,,,,,,
3424,1042_WSI_FEA_XX,45,F,,,,,,,,,
4918,1061_TIE_NEU_XX,28,N,,,,,,,,,
3922,1049_IEO_SAD_LO,82,S,,,,,,,,,
934,1012_MTI_FEA_XX,35,F,,,,,,,,,
3673,1046_IEO_HAP_LO,33,H,,,,,,,,,
1183,1015_IWL_HAP_XX,48,H,,,,,,,,,
5914,1073_IWW_NEU_XX,81,N,,,,,,,,,
1681,1021_DFA_HAP_XX,39,H,,,,,,,,,
5167,1064_TIE_ANG_XX,68,A,,,,,,,,,
1930,1024_DFA_FEA_XX,32,F,,,,,,,,,
2677,1033_TSI_HAP_XX,54,H,,,,,,,,,
1211,1015_TSI_DIS_XX,39,D,,,,,,,,,
6938,1085_ITS_DIS_XX,44,D,,,,,,,,,
5942,1073_ITH_FEA_XX,52,F,,,,,,,,,
6689,1082_ITS_SAD_XX,27,S,,,,,,,,,
1958,1025_IEO_ANG_MD,44,A,,,,,,,,,
4697,1058_MTI_HAP_XX,52,H,,,,,,,,,
492,1007_IEO_NEU_XX,28,N,,,,,,,,,
7436,1091_TSI_DIS_XX,51,D,,,,,,,,,
4946,1061_MTI_FEA_XX,18,F,,,,,,,,,
6440,1079_DFA_DIS_XX,22,D,,,,,,,,,
7187,1088_TSI_SAD_XX,93,S,,,,,,,,,
5693,1070_ITH_HAP_XX,23,H,,,,,,,,,
2954,1037_TIE_FEA_XX,48,F,,,,,,,,,
6191,1076_DFA_HAP_XX,35,H,,,,,,,,,
243,1003_WSI_ANG_XX,37,A,,,,,,,,,
4448,1055_TAI_FEA_XX,53,F,,,,,,,,,
741,1010_IEO_DIS_HI,30,D,,,,,,,,,
4199,1052_TAI_HAP_XX,67,H,,,,,,,,,
3950,1049_IWW_FEA_XX,54,F,,,,,,,,,
5444,1067_IWL_FEA_XX,16,F,,,,,,,,,
1709,1022_IEO_SAD_MD,68,S,,,,,,,,,
962,1012_TSI_SAD_XX,59,S,,,,,,,,,
1460,1018_WSI_SAD_XX,16,S,,,,,,,,,
3452,1043_IOM_FEA_XX,45,F,,,,,,,,,
2207,1028_IEO_FEA_MD,18,F,,,,,,,,,
3701,1046_IWW_HAP_XX,7,H,,,,,,,,,
3203,1040_IOM_HAP_XX,19,H,,,,,,,,,
2456,1031_IEO_DIS_MD,22,D,,,,,,,,,
2705,1034_TIE_HAP_XX,16,H,,,,,,,,,
5195,1064_IWL_HAP_XX,41,H,,,,,,,,,
1116,1014_DFA_FEA_XX,69,F,,,,,,,,,
867,1011_DFA_HAP_XX,61,H,,,,,,,,,
3108,1039_IEO_FEA_LO,52,F,,,,,,,,,
5598,1069_MTI_NEU_XX,69,N,,,,,,,,,
4353,1054_IOM_ANG_XX,26,A,,,,,,,,,
1614,1020_TSI_FEA_XX,30,F,,,,,,,,,
2859,1036_IEO_ANG_LO,36,A,,,,,,,,,
6096,1075_IWL_NEU_XX,67,N,,,,,,,,,
2610,1033_IEO_SAD_LO,53,S,,,,,,,,,
5100,1063_TAI_NEU_XX,73,N,,,,,,,,,
2112,1026_WSI_FEA_XX,39,F,,,,,,,,,
7092,1087_DFA_HAP_XX,47,H,,,,,,,,,
1365,1017_ITS_HAP_XX,48,H,,,,,,,,,
3357,1042_IEO_DIS_LO,78,D,,,,,,,,,
618,1008_MTI_FEA_XX,64,F,,,,,,,,,
5349,1066_TAI_ANG_XX,14,A,,,,,,,,,
1863,1023_WSI_HAP_XX,55,H,,,,,,,,,
6594,1081_ITH_HAP_XX,61,H,,,,,,,,,
4602,1057_IWW_NEU_XX,46,N,,,,,,,,,
5847,1072_MTI_ANG_XX,85,A,,,,,,,,,
4104,1051_IOM_NEU_XX,90,N,,,,,,,,,
2361,1030_IEO_HAP_LO,68,H,,,,,,,,,
3606,1045_TIE_NEU_XX,90,N,,,,,,,,,
6345,1078_IWL_FEA_XX,73,F,,,,,,,,,
148,1002_ITS_SAD_XX,66,S,,,,,,,,,
4851,1060_IWW_ANG_XX,68,A,,,,,,,,,
7341,1090_DFA_FEA_XX,85,F,,,,,,,,,
397,1005_ITS_DIS_XX,51,D,,,,,,,,,
3855,1048_TIE_ANG_XX,19,A,,,,,,,,,
6843,1084_ITH_FEA_XX,71,F,,,,,,,,,
3136,1039_TAI_FEA_XX,71,F,,,,,,,,,
895,1012_IEO_SAD_MD,72,S,,,,,,,,,
4879,1060_DFA_HAP_XX,86,H,,,,,,,,,
1891,1024_IOM_HAP_XX,69,H,,,,,,,,,
5875,1072_TSI_HAP_XX,84,H,,,,,,,,,
2140,1027_IOM_FEA_XX,73,F,,,,,,,,,
3634,1045_MTI_FEA_XX,72,F,,,,,,,,,
6871,1085_IEO_HAP_MD,84,H,,,,,,,,,
4381,1054_ITH_HAP_XX,90,H,,,,,,,,,
5128,1063_DFA_FEA_XX,80,F,,,,,,,,,
425,1006_IEO_DIS_HI,83,D,,,,,,,,,
2389,1030_IWW_HAP_XX,84,H,,,,,,,,,
6622,1081_WSI_DIS_XX,71,D,,,,,,,,,
7369,1091_IEO_ANG_MD,63,A,,,,,,,,,
1393,1018_IEO_FEA_MD,79,F,,,,,,,,,
3385,1042_MTI_HAP_XX,25,H,,,,,,,,,
2887,1036_TAI_HAP_XX,3,H,,,,,,,,,
3883,1048_IWL_HAP_XX,66,H,,,,,,,,,
1144,1015_IEO_ANG_MD,52,A,,,,,,,,,
2638,1033_IWW_FEA_XX,33,F,,,,,,,,,
4132,1051_IWL_FEA_XX,37,F,,,,,,,,,
5626,1069_ITS_FEA_XX,26,F,,,,,,,,,
7120,1088_IEO_SAD_MD,87,S,,,,,,,,,
1642,1021_TIE_FEA_XX,53,F,,,,,,,,,
646,1008_TSI_SAD_XX,27,S,,,,,,,,,
176,1003_IEO_FEA_HI,81,F,,,,,,,,,
5377,1066_ITS_HAP_XX,32,H,,,,,,,,,
6373,1078_WSI_SAD_XX,84,S,,,,,,,,,
4630,1057_ITH_FEA_XX,61,F,,,,,,,,,
6124,1075_TSI_FEA_XX,18,F,,,,,,,,,
6152,1076_TIE_FEA_XX,64,F,,,,,,,,,
5903,1073_TIE_HAP_XX,60,H,,,,,,,,,
1919,1024_IWL_DIS_XX,61,D,,,,,,,,,
2915,1036_DFA_DIS_XX,66,D,,,,,,,,,
3164,1039_ITS_SAD_XX,70,S,,,,,,,,,
2666,1033_DFA_SAD_XX,78,S,,,,,,,,,
6401,1079_IOM_SAD_XX,70,S,,,,,,,,,
6650,1082_IOM_DIS_XX,80,D,,,,,,,,,
3662,1045_TSI_SAD_XX,91,S,,,,,,,,,
5654,1070_IEO_DIS_MD,70,D,,,,,,,,,
4409,1054_WSI_DIS_XX,76,D,,,,,,,,,
1421,1018_TAI_DIS_XX,77,D,,,,,,,,,
1172,1015_TAI_SAD_XX,88,S,,,,,,,,,
5156,1064_IEO_ANG_MD,78,A,,,,,,,,,
4160,1051_WSI_SAD_XX,81,S,,,,,,,,,
2168,1027_ITH_SAD_XX,80,S,,,,,,,,,
3413,1042_ITS_DIS_XX,79,D,,,,,,,,,
4658,1058_IEO_HAP_MD,82,H,,,,,,,,,
7397,1091_TAI_SAD_XX,83,S,,,,,,,,,
674,1009_IOM_SAD_XX,83,S,,,,,,,,,
923,1012_IWW_DIS_XX,78,D,,,,,,,,,
453,1006_MTI_ANG_XX,83,A,,,,,,,,,
4907,1061_IEO_SAD_MD,90,S,,,,,,,,,
2417,1030_ITH_DIS_XX,92,D,,,,,,,,,
7148,1088_IWW_DIS_XX,82,D,,,,,,,,,
1670,1021_IWL_SAD_XX,96,S,,,,,,,,,
3911,1048_TSI_DIS_XX,28,D,,,,,,,,,
204,1003_MTI_NEU_XX,95,N,,,,,,,,,
6899,1085_IWW_SAD_XX,83,S,,,,,,,,,
5405,1067_IEO_FEA_MD,72,F,,,,,,,,,
5928,1073_MTI_SAD_XX,69,S,,,,,,,,,
6924,1085_ITH_ANG_XX,60,A,,,,,,,,,
1197,1015_DFA_ANG_XX,78,A,,,,,,,,,
3936,1049_TIE_SAD_XX,22,S,,,,,,,,,
5679,1070_TAI_DIS_XX,91,D,,,,,,,,,
4932,1061_IWW_SAD_XX,23,S,,,,,,,,,
6675,1082_ITH_NEU_XX,91,N,,,,,,,,,
2940,1037_IEO_SAD_HI,17,S,,,,,,,,,
7173,1088_DFA_NEU_XX,90,N,,,,,,,,,
3687,1046_IEO_DIS_HI,96,D,,,,,,,,,
3438,1043_IEO_FEA_HI,94,F,,,,,,,,,
4434,1055_IOM_SAD_XX,82,S,,,,,,,,,
2691,1034_IEO_HAP_HI,79,H,,,,,,,,,
229,1003_ITS_HAP_XX,88,H,,,,,,,,,
1446,1018_ITS_NEU_XX,44,N,,,,,,,,,
4683,1058_IOM_DIS_XX,52,D,,,,,,,,,
2442,1031_IEO_NEU_XX,89,N,,,,,,,,,
948,1012_DFA_NEU_XX,91,N,,,,,,,,,
3189,1040_IEO_ANG_HI,92,A,,,,,,,,,
2193,1027_WSI_ANG_XX,92,A,,,,,,,,,
727,1010_IEO_HAP_LO,83,H,,,,,,,,,
478,1006_ITS_FEA_XX,73,F,,,,,,,,,
5430,1067_TAI_SAD_XX,35,S,,,,,,,,,
4185,1052_TIE_DIS_XX,53,D,,,,,,,,,
6426,1079_IWL_ANG_XX,79,A,,,,,,,,,
5181,1064_IWW_DIS_XX,51,D,,,,,,,,,
1944,1024_WSI_NEU_XX,54,N,,,,,,,,,
1695,1021_TSI_ANG_XX,60,A,,,,,,,,,
6177,1076_MTI_DIS_XX,68,D,,,,,,,,,
7422,1091_DFA_ANG_XX,71,A,,,,,,,,,
3715,1046_MTI_ANG_XX,68,A,,,,,,,,,
5956,1073_TSI_NEU_XX,59,N,,,,,,,,,
2221,1028_IOM_ANG_XX,83,A,,,,,,,,,
6952,1086_IEO_HAP_LO,71,H,,,,,,,,,
6703,1082_WSI_FEA_XX,65,F,,,,,,,,,
3466,1043_MTI_NEU_XX,65,N,,,,,,,,,
976,1013_IEO_SAD_LO,44,S,,,,,,,,,
2719,1034_IWW_ANG_XX,48,A,,,,,,,,,
2968,1037_TAI_NEU_XX,46,N,,,,,,,,,
506,1007_IEO_DIS_MD,64,D,,,,,,,,,
4960,1061_DFA_NEU_XX,77,N,,,,,,,,,
5209,1064_DFA_ANG_XX,69,A,,,,,,,,,
257,1004_IEO_FEA_MD,59,F,,,,,,,,,
6205,1076_TSI_FEA_XX,68,F,,,,,,,,,
4711,1058_ITH_ANG_XX,67,A,,,,,,,,,
1225,1016_IEO_ANG_LO,33,A,,,,,,,,,
755,1010_IWW_HAP_XX,84,H,,,,,,,,,
5458,1067_ITS_NEU_XX,61,N,,,,,,,,,
2470,1031_IWW_NEU_XX,66,N,,,,,,,,,
1972,1025_IOM_NEU_XX,32,N,,,,,,,,,
1474,1019_IEO_FEA_LO,68,F,,,,,,,,,
5707,1070_ITS_ANG_XX,37,A,,,,,,,,,
4462,1055_ITH_NEU_XX,47,N,,,,,,,,,
4213,1052_IWL_ANG_XX,59,A,,,,,,,,,
3964,1049_IWL_NEU_XX,43,N,,,,,,,,,
3217,1040_TAI_ANG_XX,59,A,,,,,,,,,
1723,1022_TIE_ANG_XX,67,A,,,,,,,,,
8,1001_IEO_ANG_LO,57,A,,,,,,,,,
7201,1089_IEO_SAD_LO,59,S,,,,,,,,,
6454,1079_WSI_HAP_XX,67,H,,,,,,,,,
3494,1043_ITS_FEA_XX,85,F,,,,,,,,,
3743,1046_TSI_HAP_XX,46,H,,,,,,,,,
1004,1013_IWW_FEA_XX,73,F,,,,,,,,,
6731,1083_IOM_FEA_XX,76,F,,,,,,,,,
1253,1016_TAI_HAP_XX,88,H,,,,,,,,,
4241,1052_WSI_HAP_XX,92,H,,,,,,,,,
1502,1019_TAI_FEA_XX,69,F,,,,,,,,,
783,1010_ITH_DIS_XX,63,D,,,,,,,,,
285,1004_TAI_DIS_XX,66,D,,,,,,,,,
4739,1059_IEO_HAP_LO,65,H,,,,,,,,,
5735,1071_IEO_DIS_LO,30,D,,,,,,,,,
5486,1068_IEO_FEA_LO,36,F,,,,,,,,,
4490,1055_WSI_FEA_XX,63,F,,,,,,,,,
5237,1065_IEO_ANG_LO,49,A,,,,,,,,,
1751,1022_IWL_HAP_XX,69,H,,,,,,,,,
3992,1049_TSI_FEA_XX,60,F,,,,,,,,,
4988,1062_IEO_SAD_LO,54,S,,,,,,,,,
2249,1028_ITH_HAP_XX,56,H,,,,,,,,,
6482,1080_IOM_HAP_XX,66,H,,,,,,,,,
36,1001_TAI_HAP_XX,87,H,,,,,,,,,
3245,1040_ITS_HAP_XX,74,H,,,,,,,,,
534,1007_MTI_SAD_XX,47,S,,,,,,,,,
6980,1086_IWW_HAP_XX,72,H,,,,,,,,,
7229,1089_IWW_FEA_XX,67,F,,,,,,,,,
2000,1025_IWL_FEA_XX,65,F,,,,,,,,,
6233,1077_TIE_FEA_XX,23,F,,,,,,,,,
2747,1034_DFA_HAP_XX,46,H,,,,,,,,,
2996,1037_DFA_FEA_XX,82,F,,,,,,,,,
2498,1031_ITH_FEA_XX,53,F,,,,,,,,,
5984,1074_TIE_NEU_XX,78,N,,,,,,,,,
6632,1082_IEO_ANG_HI,57,A,,,,,,,,,
2897,1036_MTI_DIS_XX,26,D,,,,,,,,,
2150,1027_TAI_SAD_XX,54,S,,,,,,,,,
7130,1088_IEO_DIS_HI,59,D,,,,,,,,,
2399,1030_TAI_DIS_XX,62,D,,,,,,,,,
1901,1024_IWW_DIS_XX,57,D,,,,,,,,,
3893,1048_ITH_DIS_XX,55,D,,,,,,,,,
4391,1054_DFA_DIS_XX,56,D,,,,,,,,,
4889,1060_ITS_DIS_XX,59,D,,,,,,,,,
3146,1039_IWL_SAD_XX,53,S,,,,,,,,,
1403,1018_TIE_DIS_XX,60,D,,,,,,,,,
4142,1051_DFA_SAD_XX,94,S,,,,,,,,,
7379,1091_TIE_SAD_XX,97,S,,,,,,,,,
5636,1069_WSI_SAD_XX,74,S,,,,,,,,,
3395,1042_IWL_DIS_XX,98,D,,,,,,,,,
6134,1076_IEO_HAP_MD,100,H,,,,,,,,,
2648,1033_MTI_SAD_XX,98,S,,,,,,,,,
435,1006_IOM_ANG_XX,87,A,,,,,,,,,
1652,1021_IWW_SAD_XX,98,S,,,,,,,,,
3644,1045_ITH_SAD_XX,100,S,,,,,,,,,
186,1003_IOM_NEU_XX,100,N,,,,,,,,,
4640,1057_ITS_SAD_XX,100,S,,,,,,,,,
1182,1015_IWL_NEU_XX,94,N,,,,,,,,,
933,1012_MTI_ANG_XX,92,A,,,,,,,,,
684,1009_TAI_NEU_XX,100,N,,,,,,,,,
5138,1063_TSI_SAD_XX,98,S,,,,,,,,,
5387,1066_TSI_DIS_XX,100,D,,,,,,,,,
5885,1072_WSI_DIS_XX,100,D,,,,,,,,,
6881,1085_IEO_FEA_HI,61,F,,,,,,,,,
6383,1079_IEO_SAD_HI,99,S,,,,,,,,,
214,1003_IWL_FEA_XX,96,F,,,,,,,,,
4917,1061_IEO_DIS_HI,100,D,,,,,,,,,
4170,1052_IEO_SAD_HI,34,S,,,,,,,,,
463,1006_ITH_HAP_XX,84,H,,,,,,,,,
6660,1082_TAI_ANG_XX,74,A,,,,,,,,,
7158,1088_MTI_ANG_XX,25,A,,,,,,,,,
6909,1085_MTI_NEU_XX,59,N,,,,,,,,,
1680,1021_DFA_NEU_XX,91,N,,,,,,,,,
3174,1039_WSI_NEU_XX,93,N,,,,,,,,,
3672,1046_IEO_NEU_XX,96,N,,,,,,,,,
3423,1042_WSI_ANG_XX,84,A,,,,,,,,,
5166,1064_TIE_SAD_XX,76,S,,,,,,,,,
2676,1033_TSI_NEU_XX,81,N,,,,,,,,,
6411,1079_TAI_NEU_XX,96,N,,,,,,,,,
4668,1058_IEO_FEA_HI,12,F,,,,,,,,,
1210,1015_TSI_FEA_XX,59,F,,,,,,,,,
4419,1055_IEO_ANG_HI,100,A,,,,,,,,,
5913,1073_IOM_DIS_XX,60,D,,,,,,,,,
6162,1076_IWW_SAD_XX,97,S,,,,,,,,,
712,1009_ITS_FEA_XX,94,F,,,,,,,,,
5664,1070_IOM_SAD_XX,59,S,,,,,,,,,
3921,1049_IEO_HAP_HI,84,H,,,,,,,,,
2925,1036_TSI_ANG_XX,75,A,,,,,,,,,
1929,1024_DFA_ANG_XX,69,A,,,,,,,,,
5415,1067_TIE_DIS_XX,57,D,,,,,,,,,
1431,1018_IWL_ANG_XX,69,A,,,,,,,,,
2178,1027_ITS_NEU_XX,95,N,,,,,,,,,
961,1012_TSI_HAP_XX,99,H,,,,,,,,,
2427,1030_ITS_ANG_XX,93,A,,,,,,,,,
7407,1091_IWL_NEU_XX,74,N,,,,,,,,,
3202,1040_IOM_NEU_XX,99,N,,,,,,,,,
1957,1025_IEO_ANG_LO,100,A,,,,,,,,,
5194,1064_IWL_NEU_XX,100,N,,,,,,,,,
7435,1091_TSI_FEA_XX,68,F,,,,,,,,,
4447,1055_TAI_ANG_XX,76,A,,,,,,,,,
4198,1052_TAI_NEU_XX,99,N,,,,,,,,,
3949,1049_IWW_ANG_XX,13,A,,,,,,,,,
1708,1022_IEO_SAD_LO,100,S,,,,,,,,,
491,1006_WSI_DIS_XX,93,D,,,,,,,,,
5692,1070_ITH_NEU_XX,98,N,,,,,,,,,
5443,1067_IWL_ANG_XX,100,A,,,,,,,,,
2455,1031_IEO_DIS_LO,44,D,,,,,,,,,
6190,1076_DFA_NEU_XX,100,N,,,,,,,,,
7186,1088_TSI_HAP_XX,91,H,,,,,,,,,
5941,1073_ITH_ANG_XX,82,A,,,,,,,,,
2704,1034_TIE_NEU_XX,100,N,,,,,,,,,
3451,1043_IOM_ANG_XX,50,A,,,,,,,,,
6688,1082_ITS_HAP_XX,65,H,,,,,,,,,
242,1003_WSI_SAD_XX,53,S,,,,,,,,,
740,1010_IEO_DIS_MD,58,D,,,,,,,,,
4696,1058_MTI_NEU_XX,74,N,,,,,,,,,
6937,1085_ITS_FEA_XX,15,F,,,,,,,,,
3700,1046_IWW_NEU_XX,61,N,,,,,,,,,
1238,1016_TIE_FEA_XX,37,F,,,,,,,,,
989,1013_TIE_HAP_XX,90,H,,,,,,,,,
6439,1079_DFA_FEA_XX,66,F,,,,,,,,,
4945,1061_MTI_ANG_XX,99,A,,,,,,,,,
2953,1037_TIE_ANG_XX,98,A,,,,,,,,,
1459,1018_WSI_HAP_XX,38,H,,,,,,,,,
2206,1028_IEO_FEA_LO,100,F,,,,,,,,,
3156,1039_DFA_NEU_XX,77,N,,,,,,,,,
3903,1048_ITS_ANG_XX,64,A,,,,,,,,,
5397,1067_IEO_HAP_HI,64,H,,,,,,,,,
6891,1085_IOM_NEU_XX,63,N,,,,,,,,,
5148,1064_IEO_NEU_XX,62,N,,,,,,,,,
417,1006_IEO_ANG_LO,67,A,,,,,,,,,
4650,1057_WSI_NEU_XX,73,N,,,,,,,,,
1911,1024_MTI_ANG_XX,39,A,,,,,,,,,
6144,1076_IEO_FEA_HI,69,F,,,,,,,,,
1662,1021_MTI_NEU_XX,70,N,,,,,,,,,
6642,1082_TIE_ANG_XX,79,A,,,,,,,,,
2409,1030_IWL_ANG_XX,76,A,,,,,,,,,
3654,1045_ITS_NEU_XX,63,N,,,,,,,,,
7389,1091_IWW_NEU_XX,64,N,,,,,,,,,
6393,1079_TIE_NEU_XX,70,N,,,,,,,,,
1413,1018_IWW_ANG_XX,73,A,,,,,,,,,
4401,1054_TSI_ANG_XX,51,A,,,,,,,,,
3405,1042_DFA_ANG_XX,79,A,,,,,,,,,
196,1003_IWW_FEA_XX,79,F,,,,,,,,,
915,1012_IOM_ANG_XX,74,A,,,,,,,,,
4152,1051_TSI_NEU_XX,65,N,,,,,,,,,
5646,1070_IEO_SAD_HI,70,S,,,,,,,,,
5895,1073_IEO_ANG_HI,83,A,,,,,,,,,
4899,1060_WSI_ANG_XX,81,A,,,,,,,,,
666,1009_TIE_NEU_XX,78,N,,,,,,,,,
2658,1033_ITH_NEU_XX,59,N,,,,,,,,,
2907,1036_ITH_ANG_XX,92,A,,,,,,,,,
7140,1088_IOM_ANG_XX,88,A,,,,,,,,,
2160,1027_IWL_NEU_XX,71,N,,,,,,,,,
1164,1015_IWW_NEU_XX,87,N,,,,,,,,,
4927,1061_IOM_ANG_XX,83,A,,,,,,,,,
6172,1076_MTI_NEU_XX,60,N,,,,,,,,,
2437,1030_WSI_HAP_XX,92,H,,,,,,,,,
2188,1027_TSI_FEA_XX,83,F,,,,,,,,,
6421,1079_MTI_FEA_XX,80,F,,,,,,,,,
445,1006_TAI_HAP_XX,95,H,,,,,,,,,
4180,1052_TIE_NEU_XX,67,N,,,,,,,,,
1939,1024_TSI_HAP_XX,81,H,,,,,,,,,
1441,1018_DFA_HAP_XX,84,H,,,,,,,,,
224,1003_DFA_SAD_XX,81,S,,,,,,,,,
3682,1046_IEO_FEA_LO,80,F,,,,,,,,,
5674,1070_TAI_NEU_XX,78,N,,,,,,,,,
3184,1040_IEO_SAD_LO,73,S,,,,,,,,,
694,1009_IWL_FEA_XX,69,F,,,,,,,,,
1192,1015_ITH_FEA_XX,81,F,,,,,,,,,
2686,1033_WSI_FEA_XX,88,F,,,,,,,,,
6670,1082_IWL_HAP_XX,70,H,,,,,,,,,
2935,1037_IEO_HAP_LO,81,H,,,,,,,,,
943,1012_ITH_HAP_XX,81,H,,,,,,,,,
3433,1043_IEO_ANG_LO,78,A,,,,,,,,,
4678,1058_IOM_NEU_XX,79,N,,,,,,,,,
1690,1021_ITS_FEA_XX,75,F,,,,,,,,,
7417,1091_ITH_FEA_XX,75,F,,,,,,,,,
3931,1049_IEO_DIS_LO,78,D,,,,,,,,,
5176,1064_IWW_NEU_XX,72,N,,,,,,,,,
4429,1055_TIE_ANG_XX,77,A,,,,,,,,,
5923,1073_TAI_ANG_XX,76,A,,,,,,,,,
6919,1085_IWL_FEA_XX,81,F,,,,,,,,,
7168,1088_ITH_HAP_XX,83,H,,,,,,,,,
5425,1067_IWW_ANG_XX,78,A,,,,,,,,,
1967,1025_TIE_HAP_XX,95,H,,,,,,,,,
4955,1061_ITH_HAP_XX,95,H,,,,,,,,,
4208,1052_MTI_FEA_XX,84,F,,,,,,,,,
3212,1040_IWW_FEA_XX,88,F,,,,,,,,,
7196,1088_WSI_DIS_XX,91,D,,,,,,,,,
971,1012_WSI_DIS_XX,69,D,,,,,,,,,
2963,1037_IWW_HAP_XX,93,H,,,,,,,,,
5453,1067_DFA_HAP_XX,92,H,,,,,,,,,
3461,1043_TAI_HAP_XX,89,H,,,,,,,,,
252,1004_IEO_SAD_HI,91,S,,,,,,,,,
3959,1049_MTI_HAP_XX,92,H,,,,,,,,,
1469,1019_IEO_SAD_MD,88,S,,,,,,,,,
473,1006_DFA_DIS_XX,89,D,,,,,,,,,
4457,1055_IWL_HAP_XX,89,H,,,,,,,,,
5702,1070_DFA_FEA_XX,39,F,,,,,,,,,
1220,1016_IEO_HAP_MD,42,H,,,,,,,,,
6698,1082_TSI_DIS_XX,77,D,,,,,,,,,
2714,1034_IOM_FEA_XX,74,F,,,,,,,,,
